   0.0000000e+00   1.5000000e+01   1.5000000e+01   0.0000000e+00   2.3000000e+01   2.3000000e+01   0.0000000e+00   1.0000000e+01   1.0000000e+01
   1.0000000e+00   5.0000013e+00   5.0000000e+00   1.0000000e+00   1.6627050e+01   1.4174995e+01   1.0000000e+00   1.2656798e-06   8.4938279e-11
   2.0000000e+00   5.0000014e+00   5.0000000e+00   2.0000000e+00   1.6598670e+01   1.4099545e+01   2.0000000e+00   1.3811908e-06  -4.9500297e-09
   3.0000000e+00   1.1372952e+01   1.3825005e+01   3.0000000e+00   1.1500389e+01   9.0011979e+00   3.0000000e+00   1.8488278e-06  -4.9800164e-09
   4.0000000e+00   1.1401331e+01   1.3900455e+01   4.0000000e+00   6.4319932e+00   3.9752231e+00   4.0000000e+00   1.3096848e-06  -4.9161173e-09
   5.0000000e+00   6.4996152e+00   8.9988020e+00   5.0000000e+00   6.7449776e-06   1.4355319e-01   5.0000000e+00   2.7778382e-06  -4.9661875e-09
   6.0000000e+00   1.5680146e+00   4.0247769e+00   6.0000000e+00   6.3221049e-06   7.4843192e-03   6.0000000e+00   2.8779591e-06  -4.9209987e-09
   7.0000000e+00   4.4883644e-06   2.8074213e-01   7.0000000e+00   9.2992692e-06   4.5699494e-04   7.0000000e+00   3.3284989e-06  -3.8120991e-09
   8.0000000e+00   3.7449245e-06   1.8408373e-02   8.0000000e+00   9.2881427e-06   1.0078595e-04   8.0000000e+00   3.3256515e-06   1.3376335e-08
   9.0000000e+00   8.0280188e-06   1.2033801e-03   9.0000000e+00   1.0529778e-05   8.7351510e-05   9.0000000e+00   3.6607270e-06   2.8843352e-07
   1.0000000e+01   8.0195596e-06   1.1717646e-04   1.0000000e+01   1.0521230e-05   8.6692875e-05   1.0000000e+01   3.6585408e-06   4.8368746e-05
   1.1000000e+01   8.8863673e-06   6.2730420e-05   1.1000000e+01   1.1592052e-05   8.6681114e-05   1.1000000e+01   3.9500897e-06   6.8273515e-05
   1.2000000e+01   8.8803418e-06   6.1646913e-05   1.2000000e+01   1.1584809e-05   8.6687973e-05   1.2000000e+01   3.9480671e-06   7.1867431e-05
   1.3000000e+01   9.5937233e-06   6.1605841e-05   1.3000000e+01   1.2617739e-05   8.6688358e-05   1.3000000e+01   4.2553637e-06   7.2059218e-05
   1.4000000e+01   9.5893211e-06   6.1607567e-05   1.4000000e+01   1.2610584e-05   8.6688403e-05   1.4000000e+01   4.2533753e-06   7.2057751e-05
   1.5000000e+01   1.0194142e-05   6.1607764e-05   1.5000000e+01   1.3780614e-05   8.6688412e-05   1.5000000e+01   4.5998105e-06   7.2057135e-05
   1.6000000e+01   1.0190028e-05   6.1607792e-05   1.6000000e+01   1.3773426e-05   8.6688413e-05   1.6000000e+01   4.5978571e-06   7.2057039e-05
   1.7000000e+01   1.0837374e-05   6.1607797e-05   1.7000000e+01   1.5138688e-05   8.6688413e-05   1.7000000e+01   4.9998277e-06   7.2057021e-05
   1.8000000e+01   1.0833524e-05   6.1607797e-05   1.8000000e+01   1.5131495e-05   8.6688413e-05   1.8000000e+01   4.9979481e-06   7.2057019e-05
   1.9000000e+01   1.1544566e-05   6.1607797e-05   1.9000000e+01   1.6774997e-05   8.6688413e-05   1.9000000e+01   5.4785624e-06   7.2057019e-05
   2.0000000e+01   1.1541035e-05   6.1607797e-05   2.0000000e+01   1.6768008e-05   8.6688413e-05   2.0000000e+01   5.4768353e-06   7.2057019e-05
