name Incoming        MPC           $(\\sigma,\\Sigma)$ 
R1 1.15442522827 0.799449340396 1.23978395685
R5 1.45619054092 0.896620034129 4.79027993102
D1 1.51252764564 0.882951423236 6.90757329579
D2 1.82529607149 1.03705171893 4.05897314155
