# Created by Octave 3.6.2, Mon May 27 08:45:31 2013 CDT <jbraw@kraft-singles>
# name: X2set
# type: matrix
# rows: 44
# columns: 2
 0 0
 0.05 3.125000000000001e-05
 0.1 0.0002500000000000001
 0.15 0.0008437500000000003
 0.2 0.002
 0.25 0.00390625
 0.3 0.006750000000000003
 0.35 0.01071875
 0.4 0.016
 0.45 0.02278125
 0.5 0.03125
 0.55 0.04159375000000001
 0.6000000000000001 0.05400000000000002
 0.65 0.06865625000000002
 0.7000000000000001 0.08575000000000002
 0.75 0.10546875
 0.8 0.128
 0.8500000000000001 0.15353125
 0.9 0.18225
 0.9500000000000001 0.21434375
 1 0.25
 0 0.25
 -0 -0.25
 -1 -0.25
 -0.9500000000000001 -0.21434375
 -0.9 -0.18225
 -0.8500000000000001 -0.15353125
 -0.8 -0.128
 -0.75 -0.10546875
 -0.7000000000000001 -0.08575000000000002
 -0.65 -0.06865625000000002
 -0.6000000000000001 -0.05400000000000002
 -0.55 -0.04159375000000001
 -0.5 -0.03125
 -0.45 -0.02278125
 -0.4 -0.016
 -0.35 -0.01071875
 -0.3 -0.006750000000000003
 -0.25 -0.00390625
 -0.2 -0.002
 -0.15 -0.0008437500000000003
 -0.1 -0.0002500000000000001
 -0.05 -3.125000000000001e-05
 -0 -0


# name: X1set
# type: matrix
# rows: 42
# columns: 2
 1 1
 0.9500000000000001 0.8573750000000001
 0.9 0.7290000000000001
 0.8500000000000001 0.6141250000000001
 0.8 0.5120000000000001
 0.75 0.421875
 0.7000000000000001 0.3430000000000001
 0.65 0.2746250000000001
 0.6000000000000001 0.2160000000000001
 0.55 0.1663750000000001
 0.5 0.125
 0.45 0.09112500000000001
 0.4 0.06400000000000002
 0.35 0.04287500000000001
 0.3 0.02700000000000001
 0.25 0.015625
 0.2 0.008000000000000002
 0.15 0.003375000000000001
 0.1 0.001
 0.05 0.000125
 0 0
 -0 -0
 -0.05 -0.000125
 -0.1 -0.001
 -0.15 -0.003375000000000001
 -0.2 -0.008000000000000002
 -0.25 -0.015625
 -0.3 -0.02700000000000001
 -0.35 -0.04287500000000001
 -0.4 -0.06400000000000002
 -0.45 -0.09112500000000001
 -0.5 -0.125
 -0.55 -0.1663750000000001
 -0.6000000000000001 -0.2160000000000001
 -0.65 -0.2746250000000001
 -0.7000000000000001 -0.3430000000000001
 -0.75 -0.421875
 -0.8 -0.5120000000000001
 -0.8500000000000001 -0.6141250000000001
 -0.9 -0.7290000000000001
 -0.9500000000000001 -0.8573750000000001
 -1 -1


# name: dis
# type: matrix
# rows: 42
# columns: 3
 1 0.1111111111111111 1
 0.9500000000000001 0.09526388888888891 0.8573750000000002
 0.9 0.08099999999999996 0.7290000000000002
 0.8500000000000001 0.06823611111111116 0.614125
 0.8 0.05688888888888889 0.512
 0.75 0.046875 0.421875
 0.7000000000000001 0.03811111111111113 0.3430000000000001
 0.65 0.0305138888888889 0.274625
 0.6000000000000001 0.02400000000000001 0.2160000000000001
 0.55 0.01848611111111112 0.1663750000000001
 0.5 0.01388888888888889 0.125
 0.45 0.010125 0.09112500000000003
 0.4 0.007111111111111111 0.064
 0.35 0.004763888888888891 0.04287500000000001
 0.3 0.003000000000000001 0.02700000000000001
 0.25 0.001736111111111111 0.015625
 0.2 0.0008888888888888889 0.008
 0.15 0.0003750000000000001 0.003375000000000001
 0.1 0.0001111111111111111 0.001
 0.05 1.388888888888889e-05 0.000125
 0 -0 0
 -0 0 -0
 -0.05 -1.388888888888889e-05 -0.000125
 -0.1 -0.0001111111111111111 -0.001
 -0.15 -0.0003750000000000001 -0.003375000000000001
 -0.2 -0.0008888888888888889 -0.008
 -0.25 -0.001736111111111111 -0.015625
 -0.3 -0.003000000000000001 -0.02700000000000001
 -0.35 -0.004763888888888891 -0.04287500000000001
 -0.4 -0.007111111111111111 -0.064
 -0.45 -0.010125 -0.09112500000000003
 -0.5 -0.01388888888888889 -0.125
 -0.55 -0.01848611111111112 -0.1663750000000001
 -0.6000000000000001 -0.02400000000000001 -0.2160000000000001
 -0.65 -0.0305138888888889 -0.274625
 -0.7000000000000001 -0.03811111111111113 -0.3430000000000001
 -0.75 -0.046875 -0.421875
 -0.8 -0.05688888888888889 -0.512
 -0.8500000000000001 -0.06823611111111116 -0.614125
 -0.9 -0.08099999999999996 -0.7290000000000002
 -0.9500000000000001 -0.09526388888888891 -0.8573750000000002
 -1 -0.1111111111111111 -1


