U 0 1 oceanblue 10 
U 1 4 blue 8.50
U 4 7 blue 10.00
U 7 9 skyblue -
U 9 11 red 8.50
U 11 13 red 10.00
U 13 15 red 10.00
U 15 17 lightorange -
U 17 20 blue 10.00
U 20 23 blue 8.50
U 23 26 blue 10.00
