   0.0000000e+00   1.5000000e+01   1.5000000e+01   0.0000000e+00   2.3000000e+01   2.3000000e+01   0.0000000e+00   1.0000000e+01   1.0000000e+01
   1.0000000e+00   1.5288723e+01   1.7619879e+01   1.0000000e+00   2.1239139e+01   2.2763626e+01   1.0000000e+00   1.0288723e+01   1.2619879e+01
   2.0000000e+00   1.5283075e+01   1.7644419e+01   2.0000000e+00   2.1009078e+01   2.2578352e+01   2.0000000e+00   1.0283075e+01   1.2644419e+01
   3.0000000e+00   1.6179217e+01   1.7763954e+01   3.0000000e+00   2.4522001e+01   2.6090452e+01   3.0000000e+00   9.4183563e+00   1.2527580e+01
   4.0000000e+00   1.6256514e+01   1.7825749e+01   4.0000000e+00   2.7873696e+01   2.9432124e+01   4.0000000e+00   9.2655916e+00   1.2404101e+01
   5.0000000e+00   1.9529633e+01   2.1099472e+01   5.0000000e+00   3.1555051e+01   3.2826658e+01   5.0000000e+00   6.0516346e+00   9.1899244e+00
   6.0000000e+00   2.2860651e+01   2.4430122e+01   6.0000000e+00   3.5155588e+01   3.5167603e+01   6.0000000e+00   2.7343509e+00   5.8622459e+00
   7.0000000e+00   2.6445011e+01   2.7742958e+01   7.0000000e+00   3.5284409e+01   3.5280040e+01   7.0000000e+00   7.4027455e-05   2.5696156e+00
   8.0000000e+00   3.0022933e+01   3.0008623e+01   8.0000000e+00   3.5291177e+01   3.5290423e+01   8.0000000e+00   3.5634579e-06   3.2226501e-01
   9.0000000e+00   3.0274856e+01   3.0260870e+01   9.0000000e+00   3.5291644e+01   3.5291516e+01   9.0000000e+00   3.2411426e-06   3.5885093e-02
   1.0000000e+01   3.0290682e+01   3.0288307e+01   1.0000000e+01   3.5291669e+01   3.5291643e+01   1.0000000e+01   3.2229836e-06   3.9297559e-03
   1.1000000e+01   3.0291599e+01   3.0291278e+01   1.1000000e+01   3.5291670e+01   3.5291657e+01   1.1000000e+01   3.2219389e-06   4.5769934e-04
   1.2000000e+01   3.0291657e+01   3.0291608e+01   1.2000000e+01   3.5291671e+01   3.5291659e+01   1.2000000e+01   3.2218725e-06   1.5723574e-04
   1.3000000e+01   3.0291661e+01   3.0291644e+01   1.3000000e+01   3.5291671e+01   3.5291659e+01   1.3000000e+01   3.2218683e-06   1.3670823e-04
   1.4000000e+01   3.0291661e+01   3.0291648e+01   1.4000000e+01   3.5291671e+01   3.5291659e+01   1.4000000e+01   3.2218681e-06   1.3486159e-04
   1.5000000e+01   3.0291661e+01   3.0291648e+01   1.5000000e+01   3.5291671e+01   3.5291659e+01   1.5000000e+01   3.2218681e-06   1.3468578e-04
   1.6000000e+01   3.0291661e+01   3.0291648e+01   1.6000000e+01   3.5291671e+01   3.5291659e+01   1.6000000e+01   3.2218681e-06   1.3467089e-04
   1.7000000e+01   3.0291661e+01   3.0291648e+01   1.7000000e+01   3.5291671e+01   3.5291659e+01   1.7000000e+01   3.2218681e-06   1.3466957e-04
   1.8000000e+01   3.0291661e+01   3.0291648e+01   1.8000000e+01   3.5291671e+01   3.5291659e+01   1.8000000e+01   3.2218681e-06   1.3466945e-04
   1.9000000e+01   3.0291661e+01   3.0291648e+01   1.9000000e+01   3.5291671e+01   3.5291659e+01   1.9000000e+01   3.2218681e-06   1.3466944e-04
   2.0000000e+01   3.0291661e+01   3.0291648e+01   2.0000000e+01   3.5291671e+01   3.5291659e+01   2.0000000e+01   3.2218681e-06   1.3466944e-04
