T 8 11 red 66.2
T 12 14 blue 101.1
T 15 18 red 129.5
T 19 21 blue 107.8
T 22 25 red 129.5
T 26 28 blue 107.8
T 29 32 red 129.5
T 33 35 blue 107.8
T 36 39 red 129.5
T 40 42 blue 107.8
T 43 46 red 129.5
T 47 49 blue 107.8
