   0               35              40
   1.0000000e-01   3.2907407e+01   3.7907407e+01
   2.0000000e-01   3.0291667e+01   3.5291667e+01
   3.0000000e-01   2.6928571e+01   3.1928571e+01
   4.0000000e-01   2.2444444e+01   2.7444444e+01
   5.0000000e-01   1.6166667e+01   2.1166667e+01
   6.0000000e-01   6.7500000e+00   1.1750000e+01
   7.0000000e-01  -5.0000000e-09  -5.0000000e-09
   8.0000000e-01  -5.0000000e-09  -5.0000000e-09
   9.0000000e-01  -5.0000000e-09  -5.0000000e-09
   1               0               0
